,appid,genre
50,1404210,"['action', 'adventure', 'charactercustomization', 'coop', 'controller', 'firstperson', 'gore', 'horses', 'mmorpg', 'multiplayer', 'onlinecoop', 'openworld', 'pvp', 'realistic', 'shooter', 'singleplayer', 'storyrich', 'thirdpersonshooter', 'violent', 'western']"
51,779340,"['action', 'coop', 'destruction', 'fantasy', 'grandstrategy', 'greatsoundtrack', 'historical', 'military', 'multiplayer', 'rts', 'realtimetactics', 'sandbox', 'simulation', 'singleplayer', 'strategy', 'tactical', 'turnbased', 'turnbasedstrategy', 'violent', 'war']"
52,1144200,"['action', 'adventure', 'america', 'atmospheric', 'coop', 'coopcampaign', 'combat', 'crime', 'earlyaccess', 'fps', 'firstperson', 'gore', 'guncustomization', 'horror', 'indie', 'modern', 'multiplayer', 'realistic', 'shooter', 'singleplayer', 'tactical', 'violent']"
53,1222670,"['adventure', 'building', 'cartoony', 'casual', 'charactercustomization', 'cute', 'datingsim', 'familyfriendly', 'fantasy', 'funny', 'immersivesim', 'lifesim', 'multiplayer', 'realistic', 'relaxing', 'romance', 'sandbox', 'sexualcontent', 'simulation', 'singleplayer']"
54,1649080,"['building', 'cartoony', 'casual', 'citybuilder', 'comedy', 'familyfriendly', 'funny', 'indie', 'isometric', 'management', 'replayvalue', 'retro', 'sandbox', 'simulation', 'singleplayer', 'strategy', 'tactical']"
55,535930,"['building', 'cartoony', 'casual', 'citybuilder', 'classic', 'comedy', 'familyfriendly', 'funny', 'indie', 'isometric', 'management', 'medicalsim', 'multiplayer', 'replayvalue', 'retro', 'sandbox', 'simulation', 'singleplayer', 'strategy', 'tactical']"
56,1063730,"['action', 'adventure', 'charactercustomization', 'coop', 'crafting', 'fantasy', 'mmorpg', 'massivelymultiplayer', 'multiplayer', 'openworld', 'openworldsurvivalcraft', 'pve', 'pvp', 'rpg', 'sandbox', 'sexualcontent', 'soulslike', 'thirdperson', 'violent', 'walkingsimulator']"
57,1549970,"['action', 'aliens', 'atmospheric', 'charactercustomization', 'coop', 'coopcampaign', 'controller', 'horror', 'multiplayer', 'onlinecoop', 'pve', 'rpg', 'scifi', 'shooter', 'singleplayer', 'space', 'survival', 'survivalhorror', 'thirdperson', 'thirdpersonshooter']"
58,954740,"['action', 'adventure', 'atmospheric', 'choicesmatter', 'cinematic', 'crafting', 'fps', 'firstperson', 'futuristic', 'greatsoundtrack', 'multipleendings', 'openworld', 'postapocalyptic', 'rpg', 'robots', 'scifi', 'shooter', 'singleplayer', 'storyrich', 'violent']"
59,1222140,"['action', 'adventure', 'atmospheric', 'beautiful', 'choicesmatter', 'cinematic', 'cyberpunk', 'dynamicnarration', 'emotional', 'femaleprotagonist', 'futuristic', 'greatsoundtrack', 'multipleendings', 'narration', 'replayvalue', 'robots', 'scifi', 'singleplayer', 'storyrich', 'thirdperson', 'violent']"
